State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%)
Kentucky,Lexington,8/9/2012,55V50,8/12/2013,224,7.01,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Phoenix,8/12/2013,224,6.97,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Evermore,8/12/2013,224,6.96,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,4030,8/12/2013,224,6.95,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Caliber,8/12/2013,224,6.87,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Ameristand 403T,8/12/2013,224,6.83,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Radiance HD,8/12/2013,224,6.72,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,GA-505,8/12/2013,224,6.73,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Saranac AR,8/12/2013,224,6.75,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Withstand,8/12/2013,224,6.8,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,Arc,8/12/2013,224,6.76,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,CW 085028,8/12/2013,224,6.8,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,CW 065030,8/12/2013,224,6.57,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,GA-ALFG-1,8/12/2013,224,6.39,368,1,3273.52,804.6,17.60733333,12.61707097,22.59871398,0.313480989
Kentucky,Lexington,8/9/2012,55V50,9/18/2014,261,7.54,770,402,4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978
Kentucky,Lexington,8/9/2012,Phoenix,9/18/2014,261,7.57,770,402,4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978
Kentucky,Lexington,8/9/2012,Radiance HD,9/18/2014,261,7.46,770,402,4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978
Kentucky,Lexington,8/9/2012,GA-505,9/18/2014,261,7.35,770,402,4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978
Kentucky,Lexington,8/9/2012,Evermore,9/18/2014,261,7.35,770,402,4247.66,828.9,19.97157952,14.4778959,25.4492961,0.281900978
